Dataset_Type,Data_File,Label_File
train,/home/nishioka/GNN/Defect_4x4_Normalized1/0Normalized1_nodefect_4x4_ELNOD.npy,/home/nishioka/GNN/DefectLabels_4x4_test1/0DefectLabel_nodefect1.npy
train,/home/nishioka/GNN/Defect_4x4_Normalized1/0Normalized1_nodefect_4x4_ELNOD.npy,/home/nishioka/GNN/DefectLabels_4x4_test1/0DefectLabel_nodefect1.npy
train,/home/nishioka/GNN/Defect_4x4_Normalized1/0Normalized1_nodefect_4x4_ELNOD.npy,/home/nishioka/GNN/DefectLabels_4x4_test1/0DefectLabel_nodefect1.npy
train,/home/nishioka/GNN/Defect_4x4_Normalized1/0Normalized1_nodefect_4x4_ELNOD.npy,/home/nishioka/GNN/DefectLabels_4x4_test1/0DefectLabel_nodefect1.npy
train,/home/nishioka/GNN/Defect_4x4_Normalized1/0Normalized1_nodefect_4x4_ELNOD.npy,/home/nishioka/GNN/DefectLabels_4x4_test1/0DefectLabel_nodefect1.npy
train,/home/nishioka/GNN/Defect_4x4_Normalized1/0Normalized1_nodefect_4x4_ELNOD.npy,/home/nishioka/GNN/DefectLabels_4x4_test1/0DefectLabel_nodefect1.npy
train,/home/nishioka/GNN/Defect_4x4_Normalized1/0Normalized1_nodefect_4x4_ELNOD.npy,/home/nishioka/GNN/DefectLabels_4x4_test1/0DefectLabel_nodefect1.npy
train,/home/nishioka/GNN/Defect_4x4_Normalized1/0Normalized1_nodefect_4x4_ELNOD.npy,/home/nishioka/GNN/DefectLabels_4x4_test1/0DefectLabel_nodefect1.npy
train,Normalized1_Defect12x12_ELNOD_L3B9.npy,12x12DefectLabel1_L3B9.npy
train,Normalized1_Defect12x12_ELNOD_L10B7.npy,12x12DefectLabel1_L10B7.npy
train,Normalized1_Defect12x12_ELNOD_L10B5.npy,12x12DefectLabel1_L10B5.npy
train,Normalized1_Defect12x12_ELNOD_L7B2.npy,12x12DefectLabel1_L7B2.npy
train,Normalized1_Defect12x12_ELNOD_L10B9.npy,12x12DefectLabel1_L10B9.npy
train,Normalized1_Defect12x12_ELNOD_L11B6.npy,12x12DefectLabel1_L11B6.npy
train,Normalized1_Defect12x12_ELNOD_L18B1.npy,12x12DefectLabel1_L18B1.npy
train,Normalized1_Defect12x12_ELNOD_L5B6.npy,12x12DefectLabel1_L5B6.npy
train,Normalized1_Defect12x12_ELNOD_L9B9.npy,12x12DefectLabel1_L9B9.npy
train,Normalized1_Defect12x12_ELNOD_L11B8.npy,12x12DefectLabel1_L11B8.npy
train,Normalized1_Defect12x12_ELNOD_L17B6.npy,12x12DefectLabel1_L17B6.npy
train,Normalized1_Defect12x12_ELNOD_L13B10.npy,12x12DefectLabel1_L13B10.npy
train,Normalized1_Defect12x12_ELNOD_L12B2.npy,12x12DefectLabel1_L12B2.npy
train,Normalized1_Defect12x12_ELNOD_L6B8.npy,12x12DefectLabel1_L6B8.npy
train,Normalized1_Defect12x12_ELNOD_L9B8.npy,12x12DefectLabel1_L9B8.npy
train,Normalized1_Defect12x12_ELNOD_L18B4.npy,12x12DefectLabel1_L18B4.npy
train,Normalized1_Defect12x12_ELNOD_L2B7.npy,12x12DefectLabel1_L2B7.npy
train,Normalized1_Defect12x12_ELNOD_L16B2.npy,12x12DefectLabel1_L16B2.npy
train,Normalized1_Defect12x12_ELNOD_L7B1.npy,12x12DefectLabel1_L7B1.npy
train,Normalized1_Defect12x12_ELNOD_L4B9.npy,12x12DefectLabel1_L4B9.npy
train,Normalized1_Defect12x12_ELNOD_L6B6.npy,12x12DefectLabel1_L6B6.npy
train,Normalized1_Defect12x12_ELNOD_L17B9.npy,12x12DefectLabel1_L17B9.npy
train,Normalized1_Defect12x12_ELNOD_L11B3.npy,12x12DefectLabel1_L11B3.npy
train,Normalized1_Defect12x12_ELNOD_L13B9.npy,12x12DefectLabel1_L13B9.npy
train,Normalized1_Defect12x12_ELNOD_L7B3.npy,12x12DefectLabel1_L7B3.npy
train,Normalized1_Defect12x12_ELNOD_L2B5.npy,12x12DefectLabel1_L2B5.npy
train,Normalized1_Defect12x12_ELNOD_L4B2.npy,12x12DefectLabel1_L4B2.npy
train,Normalized1_Defect12x12_ELNOD_L6B3.npy,12x12DefectLabel1_L6B3.npy
train,Normalized1_Defect12x12_ELNOD_L14B10.npy,12x12DefectLabel1_L14B10.npy
train,Normalized1_Defect12x12_ELNOD_L16B9.npy,12x12DefectLabel1_L16B9.npy
train,Normalized1_Defect12x12_ELNOD_L16B4.npy,12x12DefectLabel1_L16B4.npy
train,Normalized1_Defect12x12_ELNOD_L9B5.npy,12x12DefectLabel1_L9B5.npy
train,Normalized1_Defect12x12_ELNOD_L13B3.npy,12x12DefectLabel1_L13B3.npy
train,Normalized1_Defect12x12_ELNOD_L14B2.npy,12x12DefectLabel1_L14B2.npy
train,Normalized1_Defect12x12_ELNOD_L7B6.npy,12x12DefectLabel1_L7B6.npy
train,Normalized1_Defect12x12_ELNOD_L4B8.npy,12x12DefectLabel1_L4B8.npy
train,Normalized1_Defect12x12_ELNOD_L16B6.npy,12x12DefectLabel1_L16B6.npy
train,Normalized1_Defect12x12_ELNOD_L2B9.npy,12x12DefectLabel1_L2B9.npy
train,Normalized1_Defect12x12_ELNOD_L5B8.npy,12x12DefectLabel1_L5B8.npy
train,Normalized1_Defect12x12_ELNOD_L8B1.npy,12x12DefectLabel1_L8B1.npy
train,Normalized1_Defect12x12_ELNOD_L10B6.npy,12x12DefectLabel1_L10B6.npy
train,Normalized1_Defect12x12_ELNOD_L6B5.npy,12x12DefectLabel1_L6B5.npy
train,Normalized1_Defect12x12_ELNOD_L5B7.npy,12x12DefectLabel1_L5B7.npy
train,Normalized1_Defect12x12_ELNOD_L5B10.npy,12x12DefectLabel1_L5B10.npy
train,Normalized1_Defect12x12_ELNOD_L18B7.npy,12x12DefectLabel1_L18B7.npy
train,Normalized1_Defect12x12_ELNOD_L10B8.npy,12x12DefectLabel1_L10B8.npy
train,Normalized1_Defect12x12_ELNOD_L2B10.npy,12x12DefectLabel1_L2B10.npy
train,Normalized1_Defect12x12_ELNOD_L14B8.npy,12x12DefectLabel1_L14B8.npy
train,Normalized1_Defect12x12_ELNOD_L4B3.npy,12x12DefectLabel1_L4B3.npy
train,Normalized1_Defect12x12_ELNOD_L16B7.npy,12x12DefectLabel1_L16B7.npy
train,Normalized1_Defect12x12_ELNOD_L8B2.npy,12x12DefectLabel1_L8B2.npy
train,Normalized1_Defect12x12_ELNOD_L7B9.npy,12x12DefectLabel1_L7B9.npy
train,Normalized1_Defect12x12_ELNOD_L4B10.npy,12x12DefectLabel1_L4B10.npy
train,Normalized1_Defect12x12_ELNOD_L17B5.npy,12x12DefectLabel1_L17B5.npy
train,Normalized1_Defect12x12_ELNOD_L19B2.npy,12x12DefectLabel1_L19B2.npy
train,Normalized1_Defect12x12_ELNOD_L8B5.npy,12x12DefectLabel1_L8B5.npy
train,Normalized1_Defect12x12_ELNOD_L6B9.npy,12x12DefectLabel1_L6B9.npy
train,Normalized1_Defect12x12_ELNOD_L19B5.npy,12x12DefectLabel1_L19B5.npy
train,Normalized1_Defect12x12_ELNOD_L9B10.npy,12x12DefectLabel1_L9B10.npy
train,Normalized1_Defect12x12_ELNOD_L12B6.npy,12x12DefectLabel1_L12B6.npy
train,Normalized1_Defect12x12_ELNOD_L5B3.npy,12x12DefectLabel1_L5B3.npy
train,Normalized1_Defect12x12_ELNOD_L4B1.npy,12x12DefectLabel1_L4B1.npy
train,Normalized1_Defect12x12_ELNOD_L2B3.npy,12x12DefectLabel1_L2B3.npy
train,Normalized1_Defect12x12_ELNOD_L3B4.npy,12x12DefectLabel1_L3B4.npy
train,Normalized1_Defect12x12_ELNOD_L5B5.npy,12x12DefectLabel1_L5B5.npy
train,Normalized1_Defect12x12_ELNOD_L19B4.npy,12x12DefectLabel1_L19B4.npy
train,Normalized1_Defect12x12_ELNOD_L15B6.npy,12x12DefectLabel1_L15B6.npy
train,Normalized1_Defect12x12_ELNOD_L10B1.npy,12x12DefectLabel1_L10B1.npy
train,Normalized1_Defect12x12_ELNOD_L12B4.npy,12x12DefectLabel1_L12B4.npy
train,Normalized1_Defect12x12_ELNOD_L6B4.npy,12x12DefectLabel1_L6B4.npy
train,Normalized1_Defect12x12_ELNOD_L15B1.npy,12x12DefectLabel1_L15B1.npy
train,Normalized1_Defect12x12_ELNOD_L6B10.npy,12x12DefectLabel1_L6B10.npy
train,Normalized1_Defect12x12_ELNOD_L18B10.npy,12x12DefectLabel1_L18B10.npy
train,Normalized1_Defect12x12_ELNOD_L13B7.npy,12x12DefectLabel1_L13B7.npy
train,Normalized1_Defect12x12_ELNOD_L13B2.npy,12x12DefectLabel1_L13B2.npy
train,Normalized1_Defect12x12_ELNOD_L18B9.npy,12x12DefectLabel1_L18B9.npy
train,Normalized1_Defect12x12_ELNOD_L15B8.npy,12x12DefectLabel1_L15B8.npy
train,Normalized1_Defect12x12_ELNOD_L10B10.npy,12x12DefectLabel1_L10B10.npy
train,Normalized1_Defect12x12_ELNOD_L17B4.npy,12x12DefectLabel1_L17B4.npy
train,Normalized1_Defect12x12_ELNOD_L7B10.npy,12x12DefectLabel1_L7B10.npy
train,Normalized1_Defect12x12_ELNOD_L18B8.npy,12x12DefectLabel1_L18B8.npy
train,Normalized1_Defect12x12_ELNOD_L9B4.npy,12x12DefectLabel1_L9B4.npy
train,Normalized1_Defect12x12_ELNOD_L18B6.npy,12x12DefectLabel1_L18B6.npy
train,Normalized1_Defect12x12_ELNOD_L18B5.npy,12x12DefectLabel1_L18B5.npy
train,Normalized1_Defect12x12_ELNOD_L19B8.npy,12x12DefectLabel1_L19B8.npy
train,Normalized1_Defect12x12_ELNOD_L12B8.npy,12x12DefectLabel1_L12B8.npy
train,Normalized1_Defect12x12_ELNOD_L8B10.npy,12x12DefectLabel1_L8B10.npy
train,Normalized1_Defect12x12_ELNOD_L8B3.npy,12x12DefectLabel1_L8B3.npy
train,Normalized1_Defect12x12_ELNOD_L4B7.npy,12x12DefectLabel1_L4B7.npy
